resultCode,resultMsg,totalCount,pageNo,numOfRows,statNm,statId,chgerId,chgerType,addr,lat,lng,useTime,busiId,busiNm,busiCall,stat,statUpdDt,powerType,zcode,parkingFree,note,dong
,,,,,입장휴게소(서울방향),ME178010,01,06,충청남도 천안시 서북구 입장면 연곡길 407,36.9427836,127.1943661,24시간 이용가능,ME,환경부,1661-9408,2,20230118155220,,44,Y,,입장면
,,,,,입장휴게소(서울방향),ME178010,02,06,충청남도 천안시 서북구 입장면 연곡길 407,36.9427836,127.1943661,24시간 이용가능,ME,환경부,1661-9408,5,20230114134311,,44,Y,,입장면
,,,,,천안휴게소(서울방향),ME178011,01,06,충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1,36.7882107,127.1735101,24시간 이용가능,ME,환경부,1661-9408,3,20230118162819,,44,Y,,청룡동
,,,,,천안휴게소(서울방향),ME178011,02,06,충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1,36.7882107,127.1735101,24시간 이용가능,ME,환경부,1661-9408,2,20230118162417,,44,Y,,청룡동
,,,,,천안휴게소(서울방향),ME178011,03,06,충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1,36.7882107,127.1735101,24시간 이용가능,ME,환경부,1661-9408,2,20230118161851,,44,Y,,청룡동
,,,,,맘마마트 천안점,ME181434,01,06,충청남도 천안시 서북구 월봉로 95-0 (쌍용2동),36.799709,127.117648,10:00~23:00,ME,환경부,1661-9408,2,20230118114946,,44,Y,,쌍용2동
,,,,,맘마마트 천안점,ME181434,02,06,충청남도 천안시 서북구 월봉로 95-0 (쌍용2동),36.799709,127.117648,10:00~23:00,ME,환경부,1661-9408,2,20230117154133,,44,Y,,쌍용2동
,,,,,천안박물관,ME183155,01,06,"충청남도 천안시 동남구 삼룡동 401-17, 입구 좌측 주차장",36.785816,127.1649241,24시간 이용가능,ME,환경부,1661-9408,2,20230118162303,,44,Y,,청룡동
,,,,,천안박물관,ME183155,02,04,"충청남도 천안시 동남구 삼룡동 401-17, 입구 좌측 주차장",36.785816,127.1649241,24시간 이용가능,ME,환경부,1661-9408,2,20230118135404,,44,Y,,청룡동
,,,,,천안박물관,ME183155,52,04,"충청남도 천안시 동남구 삼룡동 401-17, 입구 좌측 주차장",36.785816,127.1649241,24시간 이용가능,ME,환경부,1661-9408,3,20230118161642,,44,Y,,청룡동
,,,,,성환문화회관,ME18A297,11,04,충청남도 천안시 서북구 성환읍 성진로 15,36.912085,127.135804,24시간 이용가능,ME,환경부,1661-9408,2,20230118154328,,44,Y,,성환읍
,,,,,성환문화회관,ME18A297,12,04,충청남도 천안시 서북구 성환읍 성진로 15,36.912085,127.135804,24시간 이용가능,ME,환경부,1661-9408,2,20230118162643,,44,Y,,성환읍
,,,,,천안시 서북구청,ME18A299,11,04,충청남도 천안시 서북구 성거읍 봉주로 75,36.877727,127.154154,24시간 이용가능,ME,환경부,1661-9408,3,20230118160714,,44,Y,,성거읍
,,,,,천안시 서북구청,ME18A299,12,04,충청남도 천안시 서북구 성거읍 봉주로 75,36.877727,127.154154,24시간 이용가능,ME,환경부,1661-9408,2,20230118161628,,44,Y,,성거읍
,,,,,천안상록리조트,ME18A312,01,06,충청남도 천안시 동남구 수신면 수신로 576,36.742044,127.286159,24시간 이용가능,ME,환경부,1661-9408,2,20230118133336,,44,Y,,수신면
,,,,,천안상록리조트,ME18A312,11,04,충청남도 천안시 동남구 수신면 수신로 576,36.742044,127.286159,24시간 이용가능,ME,환경부,1661-9408,2,20230118142253,,44,Y,,수신면
,,,,,천안상록리조트,ME18A312,12,04,충청남도 천안시 동남구 수신면 수신로 576,36.742044,127.286159,24시간 이용가능,ME,환경부,1661-9408,2,20230117194657,,44,Y,,수신면
,,,,,독립기념관,ME18A405,01,04,충청남도 천안시 동남구 목천읍 남화리 230-1,36.778612,127.231586,24시간 이용가능,ME,환경부,1661-9408,2,20230118161349,,44,Y,,목천읍
,,,,,독립기념관,ME18A405,02,04,충청남도 천안시 동남구 목천읍 남화리 230-1,36.778612,127.231586,24시간 이용가능,ME,환경부,1661-9408,9,20230118134810,,44,Y,,목천읍
,,,,,독립기념관,ME18A405,03,04,충청남도 천안시 동남구 목천읍 남화리 230-1,36.778612,127.231586,24시간 이용가능,ME,환경부,1661-9408,2,20230118160453,,44,Y,,목천읍
,,,,,독립기념관,ME18A405,04,04,충청남도 천안시 동남구 목천읍 남화리 230-1,36.778612,127.231586,24시간 이용가능,ME,환경부,1661-9408,2,20230118133403,,44,Y,,목천읍
,,,,,천안휴게소(부산방향),ME18A504,01,06,충청남도 천안시 동남구 수신면 성남로 793-40,36.730579,127.262657,24시간 이용가능,ME,환경부,1661-9408,3,20230118162358,,44,Y,,수신면
,,,,,한국기술교육대학교(제1캠퍼스),ME19C155,01,04,충청남도 천안시 동남구 병천면 가전리 307,36.760444,127.278278,24시간 이용가능,ME,환경부,1661-9408,9,20230118114310,,44,Y,,병천면
,,,,,청수공원 주차장,ME19C156,11,04,충청남도 천안시 동남구 청수동 270,36.787111,127.147194,24시간 이용가능,ME,환경부,1661-9408,2,20230118153027,,44,Y,,청룡동
,,,,,청수공원 주차장,ME19C156,12,04,충청남도 천안시 동남구 청수동 270,36.787111,127.147194,24시간 이용가능,ME,환경부,1661-9408,2,20230118125033,,44,Y,,청룡동
,,,,,도솔공원,ME19C157,11,04,충청남도 천안시 동남구 신부동 132-8,36.825001,127.159452,24시간 이용가능,ME,환경부,1661-9408,2,20230118115532,,44,Y,,신안동
,,,,,도솔공원,ME19C157,12,04,충청남도 천안시 동남구 신부동 132-8,36.825001,127.159452,24시간 이용가능,ME,환경부,1661-9408,2,20230118151817,,44,Y,,신안동
,,,,,성거읍사무소,ME19C247,21,04,충청남도 천안시 서북구 성거읍 저리 57-26,36.877667,127.198722,24시간 이용가능,ME,환경부,1661-9408,2,20230118151511,,44,Y,,성거읍
,,,,,성거읍사무소,ME19C247,22,04,충청남도 천안시 서북구 성거읍 저리 57-26,36.877667,127.198722,24시간 이용가능,ME,환경부,1661-9408,9,20230118133810,,44,Y,,성거읍
,,,,,병천면 행정복지센터,ME19Y245,21,04,충청남도 천안시 동남구 병천면 병천2로 57,36.765921,127.302360,24시간 이용가능,ME,환경부,1661-9408,2,20230118145952,,44,Y,,병천면
,,,,,병천면 행정복지센터,ME19Y245,22,04,충청남도 천안시 동남구 병천면 병천2로 57,36.765921,127.302360,24시간 이용가능,ME,환경부,1661-9408,2,20230117154030,,44,Y,,병천면
,,,,,병천 제1공영주차장,ME20C199,01,04,충청남도 천안시 동남구 병천리 211-1,36.7594717,127.2990732,24시간 이용가능,ME,환경부,1661-9408,2,20230118141105,,44,Y,,병천면
,,,,,두정역 제1공영주차장,ME20C2b0,21,04,충청남도 천안시 서북구 두정동 91-1,36.8319261,127.150577,24시간 이용가능,ME,환경부,1661-9408,2,20230118073501,,44,N,,부성2동
,,,,,두정역 제1공영주차장,ME20C2b0,22,04,충청남도 천안시 서북구 두정동 91-1,36.8319261,127.150577,24시간 이용가능,ME,환경부,1661-9408,3,20230118161922,,44,N,,부성2동
,,,,,불당 제3공영주차장,ME20C2b2,21,04,충청남도 천안시 서북구 불당동 910,36.8052064,127.1083253,24시간 이용가능,ME,환경부,1661-9408,2,20230118155644,,44,Y,,불당2동
,,,,,불당 제3공영주차장,ME20C2b2,22,04,충청남도 천안시 서북구 불당동 910,36.8052064,127.1083253,24시간 이용가능,ME,환경부,1661-9408,2,20230118151538,,44,Y,,불당2동
