충전소명,충전소ID,충전기ID,충전기타입,주소,위도,경도,이용가능시간,기관아이디,운영기관명,운영기관연락처,충전기상태,상태갱신일시,충전기종류,지역코드,주차료무료여부,충전소안내,법정동,행정동
입장휴게소(서울방향),ME178010,01,06,충청남도 천안시 서북구 입장면 연곡길 407,36.943068193002,127.193601702658,24시간 이용가능,ME,환경부,1661-9408,2,20230129101415,,44,Y,,입장면 가산리,입장면
맘마마트 천안점,ME181434,01,06,충청남도 천안시 서북구 월봉로 95-0 (쌍용2동),36.7997704946331,127.117649318754,10:00~23:00,ME,환경부,1661-9408,2,20230129115733,,44,Y,,쌍용동,쌍용2동
문성동 주민센터,ME18A296,11,04,충청남도 천안시 동남구 문화로 15,36.8109833056497,127.150277459234,24시간 이용가능,ME,환경부,1661-9408,2,20230129114827,,44,Y,,문화동,문성동
성환문화회관,ME18A297,11,04,충청남도 천안시 서북구 성환읍 성진로 15,36.9125372253405,127.136678437643,24시간 이용가능,ME,환경부,1661-9408,2,20230128190054,,44,Y,,성환읍 성월리,성환읍
신방동사무소 앞 공영주차장,ME18A298,11,04,충청남도 천안시 동남구 천안천변길 129-41,36.7858715200848,127.122491909919,24시간 이용가능,ME,환경부,1661-9408,2,20230129141653,,44,Y,,신방동,신방동
천안시 서북구청,ME18A299,11,04,충청남도 천안시 서북구 성거읍 봉주로 75,36.8787154293247,127.155998212373,24시간 이용가능,ME,환경부,1661-9408,2,20230125160534,,44,Y,,성거읍 신월리,성거읍
천안상록리조트,ME18A312,01,06,충청남도 천안시 동남구 수신면 수신로 576,36.7404707929483,127.288935626003,24시간 이용가능,ME,환경부,1661-9408,2,20230128220652,,44,Y,,수신면 장산리,수신면
독립기념관,ME18A405,01,04,충청남도 천안시 동남구 목천읍 남화리 230-1,36.7824966037165,127.222855235153,24시간 이용가능,ME,환경부,1661-9408,9,20230129131810,,44,Y,,목천읍 남화리,목천읍
천안휴게소(부산방향),ME18A504,01,06,충청남도 천안시 동남구 수신면 성남로 793-40,36.7300867434595,127.264559237174,24시간 이용가능,ME,환경부,1661-9408,3,20230129135121,,44,Y,,수신면 신풍리,수신면
한국기술교육대학교(제1캠퍼스),ME19C155,01,04,충청남도 천안시 동남구 병천면 가전리 307,36.7638494297941,127.28131351664,24시간 이용가능,ME,환경부,1661-9408,9,20230129040810,,44,Y,,병천면 가전리,병천면
청수공원 주차장,ME19C156,11,04,충청남도 천안시 동남구 청수동 270,36.7874204912277,127.14876894654,24시간 이용가능,ME,환경부,1661-9408,2,20230129134105,,44,Y,,청수동,청룡동
도솔공원,ME19C157,11,04,충청남도 천안시 동남구 신부동 132-8,36.8249527853148,127.159385827756,24시간 이용가능,ME,환경부,1661-9408,2,20230128220753,,44,Y,,신부동,신안동
성거읍사무소,ME19C247,21,04,충청남도 천안시 서북구 성거읍 저리 57-26,36.8778466642166,127.199076294089,24시간 이용가능,ME,환경부,1661-9408,9,20230129131810,,44,Y,,성거읍 저리,성거읍
병천면 행정복지센터,ME19Y245,21,04,충청남도 천안시 동남구 병천면 병천2로 57,36.767192908073,127.30258350089,24시간 이용가능,ME,환경부,1661-9408,2,20230129135641,,44,Y,,병천면 병천리,병천면
성정동 공영주차장,ME19Y246,21,04,충청남도 천안시 서북구 동서대로 110-9,36.8254328759454,127.135650522885,24시간 이용가능,ME,환경부,1661-9408,2,20230129121335,,44,Y,,성정동,성정2동
천안시종합복지사회복지관,ME19Y289,21,04,충청남도 천안시 동남구 천안대로 361,36.7812200854681,127.164130988129,24시간 이용가능,ME,환경부,1661-9408,2,20230128141517,,44,Y,,삼룡동,청룡동
이마트 천안서북점,ME19Z215,21,04,충청남도 천안시 서북구 삼성대로 20,36.8385687913558,127.12233923432,09:30~23:00,ME,환경부,1661-9408,2,20230129123233,,44,Y,,백석동,백석동
이마트 천안점,ME19Z216,21,04,충청남도 천안시 서북구 충무로 187,36.7959246450724,127.127099784501,09:30~23:00,ME,환경부,1661-9408,2,20230128211041,,44,N,,쌍용동,쌍용1동
병천 제1공영주차장,ME20C199,01,04,충청남도 천안시 동남구 병천리 211-1,36.7595102637233,127.298484739645,24시간 이용가능,ME,환경부,1661-9408,2,20230129132945,,44,Y,,병천면 병천리,병천면
쌍용 제1공영주차장,ME20C1a0,01,04,충청남도 천안시 서북구 미라3길 16,36.8010880470319,127.130895837427,24시간 이용가능,ME,환경부,1661-9408,9,20230129104048,,44,N,,쌍용동,쌍용1동
두정역 제1공영주차장,ME20C2b0,21,04,충청남도 천안시 서북구 두정동 91-1,36.8320168686704,127.15036858625,24시간 이용가능,ME,환경부,1661-9408,2,20230129101614,,44,N,,두정동,부성1동
북면행정복지센터,ME20C2b1,21,04,충청남도 천안시 동남구 위례성로 724,36.8274727633268,127.273243519109,24시간 이용가능,ME,환경부,1661-9408,2,20230128180000,,44,Y,,북면 오곡리,북면
불당 제3공영주차장,ME20C2b2,21,04,충청남도 천안시 서북구 불당동 910,36.8052150703634,127.108093588132,24시간 이용가능,ME,환경부,1661-9408,2,20230128200031,,44,Y,,불당동,불당1동
안서 제1공영주차장,ME20C2b3,21,04,충청남도 천안시 동남구 안서동 526-39,36.8375526657483,127.173317676094,24시간 이용가능,ME,환경부,1661-9408,2,20230129125359,,44,Y,,안서동,신안동
한국생산기술연구원(본원),ME20C417,41,04,충청남도 천안시 입장면 양대기로길 89,36.9045461012825,127.245717563458,24시간 이용가능,ME,환경부,1661-9408,2,20230127162358,,44,Y,,입장면 기로리,입장면
